domain,family,complexity,seed,n,c1,c2,mean,std,gen_s,error
fluid,curl_weave,1.000,1,512,1.614756,-0.163990,0.469680,0.213441,44.745352,
fluid,curl_weave,1.000,2,512,1.622151,-0.135623,0.424614,0.173414,39.865892,
fluid,vorticity,,4,512,2.309517,-0.101618,0.460115,0.121707,972.196454,
fluid,curl_weave,1.000,5,512,1.649545,-0.117617,0.541867,0.169220,31.821410,
fluid,curl_weave,0.900,11,512,1.661994,-0.144919,0.436687,0.169324,51.323576,
fluid,curl_weave,1.000,4,512,1.613955,-0.150211,0.586189,0.175457,36.704513,
fluid,curl_weave,1.000,6,512,1.564047,-0.143459,0.506830,0.173348,38.999422,
fluid,dye_diffusion,0.000,0,512,4.206078,-1.486124,0.419999,0.268283,13.564436,
fluid,curl_weave,1.000,3,512,1.691947,-0.129117,0.522473,0.175918,47.988664,
fluid,dye_diffusion,0.000,2,512,4.137827,-1.222174,0.419999,0.244712,6.659912,
fluid,dye_diffusion,0.000,1,512,4.201184,-1.381116,0.420000,0.276068,13.326459,
fluid,dye_diffusion,0.000,5,512,4.223640,-1.757425,0.419999,0.266076,6.737786,
fluid,dye_diffusion,0.000,3,512,4.243895,-1.531008,0.420001,0.256091,8.150467,
fluid,curl_weave,1.000,7,512,1.627527,-0.158530,0.476408,0.171043,38.680091,
fluid,dye_diffusion,0.000,4,512,4.302842,-1.737081,0.420000,0.322538,10.788776,
fluid,dye_diffusion,0.000,6,512,4.132132,-1.467857,0.420001,0.265228,9.261146,
fluid,dye_diffusion,0.000,7,512,4.284309,-1.657336,0.420000,0.300641,6.837868,
fluid,dye_diffusion,0.000,8,512,4.208339,-1.498519,0.419999,0.245495,6.500568,
fluid,dye_diffusion,0.000,9,512,4.379830,-1.650273,0.420001,0.289285,8.299057,
fluid,dye_diffusion,0.000,10,512,4.190915,-1.603367,0.419999,0.272499,6.487577,
fluid,dye_diffusion,0.000,11,512,4.450362,-2.305145,0.420000,0.339591,6.310389,
fluid,curl_weave,1.000,9,512,1.653620,-0.134218,0.436928,0.187035,35.871136,
fluid,vorticity,,6,512,2.325046,-0.107676,0.509852,0.117889,996.828950,
fluid,curl_weave,1.000,8,512,1.593259,-0.154820,0.409588,0.160289,37.549507,
fluid,dye_diffusion,0.100,1,512,3.900432,-1.354986,0.420000,0.272774,9.410641,
fluid,dye_diffusion,0.100,0,512,3.990051,-1.264402,0.419999,0.254282,10.277394,
fluid,dye_diffusion,0.100,3,512,4.017238,-1.407657,0.420000,0.272633,10.061751,
fluid,curl_weave,1.000,11,512,1.611578,-0.160383,0.397648,0.172895,43.392570,
fluid,dye_diffusion,0.100,5,512,3.983028,-1.297147,0.419999,0.250016,9.494699,
fluid,dye_diffusion,0.100,4,512,4.064155,-1.250006,0.420001,0.328563,12.307514,
fluid,dye_diffusion,0.100,2,512,3.884990,-1.185234,0.419999,0.259262,14.085823,
fluid,curl_weave,1.000,10,512,1.615999,-0.157266,0.470552,0.184741,47.349259,
fluid,dye_diffusion,0.100,6,512,3.998226,-1.599537,0.420001,0.277146,12.482587,
fluid,dye_diffusion,0.100,9,512,3.948633,-1.248296,0.420001,0.239014,10.146973,
fluid,dye_diffusion,0.100,10,512,3.989957,-1.387367,0.419999,0.268379,8.462336,
fluid,dye_diffusion,0.100,7,512,4.113968,-2.064894,0.419999,0.299394,13.797018,
fluid,dye_diffusion,0.100,8,512,3.908133,-1.054468,0.420000,0.257856,14.872177,
fluid,dye_diffusion,0.200,0,512,3.717232,-1.196424,0.420001,0.268869,12.767425,
fluid,dye_diffusion,0.100,11,512,3.959938,-1.499310,0.420000,0.299705,14.343798,
fluid,dye_diffusion,0.200,3,512,3.872778,-1.416447,0.420000,0.267942,12.015094,
fluid,dye_diffusion,0.200,5,512,3.784563,-1.131171,0.419999,0.229310,11.792233,
fluid,dye_diffusion,0.200,2,512,3.769456,-1.041544,0.420000,0.286272,16.118390,
fluid,dye_diffusion,0.200,4,512,3.984706,-1.277451,0.419998,0.306355,14.856748,
fluid,dye_diffusion,0.200,7,512,3.728158,-1.146992,0.420000,0.246491,14.250822,
fluid,dye_diffusion,0.200,6,512,3.752032,-1.193711,0.420000,0.249364,15.110399,
fluid,dye_diffusion,0.200,1,512,3.729007,-0.988001,0.419999,0.210014,21.624219,
fluid,dye_diffusion,0.200,9,512,3.686386,-1.175860,0.420001,0.221191,12.353374,
fluid,dye_diffusion,0.200,8,512,3.662761,-1.077132,0.420000,0.281485,17.063829,
fluid,dye_diffusion,0.200,11,512,3.811230,-1.216646,0.419999,0.252003,12.090767,
fluid,dye_diffusion,0.200,10,512,3.799426,-1.253279,0.419999,0.261631,16.368213,
fluid,dye_diffusion,0.300,0,512,3.583766,-0.997748,0.420000,0.267250,14.157531,
